Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
ANTM,Anthem Inc.,1.591998,Health Care Providers & Services,1418846,XLV
ZTS,Zoetis Inc. Class A,1.586243,Pharmaceuticals,2665099,XLV
ISRG,Intuitive Surgical Inc.,1.527699,Health Care Equipment & Supplies,646727,XLV
SYK,Stryker Corporation,1.464,Health Care Equipment & Supplies,1801717,XLV
BAX,Baxter International Inc.,1.317742,Health Care Equipment & Supplies,2856810,XLV
REGN,Regeneron Pharmaceuticals Inc.,1.308165,Biotechnology,446978,XLV
BSX,Boston Scientific Corporation,1.294012,Health Care Equipment & Supplies,7799196,XLV
ILMN,Illumina Inc.,1.256269,Life Sciences Tools & Services,822583,XLV
EW,Edwards Lifesciences Corporation,1.178701,Health Care Equipment & Supplies,1167090,XLV
HUM,Humana Inc.,1.020575,Health Care Providers & Services,740961,XLV
CNC,Centene Corporation,0.955803,Health Care Providers & Services,3266750,XLV
MCK,McKesson Corporation,0.749613,Health Care Providers & Services,1008212,XLV
HCA,HCA Healthcare Inc,0.748944,Health Care Providers & Services,1480401,XLV
A,Agilent Technologies Inc.,0.704861,Life Sciences Tools & Services,1731632,XLV
ALXN,Alexion Pharmaceuticals Inc.,0.645304,Biotechnology,1238280,XLV
RMD,ResMed Inc.,0.627157,Health Care Equipment & Supplies,804520,XLV
CERN,Cerner Corporation,0.617538,Health Care Technology,1757570,XLV
ZBH,Zimmer Biomet Holdings Inc.,0.597401,Health Care Equipment & Supplies,1150898,XLV
IDXX,IDEXX Laboratories Inc.,0.564015,Health Care Equipment & Supplies,479974,XLV
IQV,IQVIA Holdings Inc,0.54486,Life Sciences Tools & Services,1009814,XLV
MTD,Mettler-Toledo International Inc.,0.515942,Life Sciences Tools & Services,136276,XLV
COO,Cooper Companies Inc.,0.433673,Health Care Equipment & Supplies,277336,XLV
CAH,Cardinal Health Inc.,0.431283,Health Care Providers & Services,1637627,XLV
INCY,Incyte Corporation,0.406242,Biotechnology,1001017,XLV
ABC,AmerisourceBergen Corporation,0.399443,Health Care Providers & Services,841144,XLV
WAT,Waters Corporation,0.375999,Life Sciences Tools & Services,360532,XLV
TFX,Teleflex Incorporated,0.374966,Health Care Equipment & Supplies,259088,XLV
LH,Laboratory Corporation of America Holdings,0.3641,Health Care Providers & Services,543362,XLV
DGX,Quest Diagnostics Incorporated,0.363795,Health Care Providers & Services,753740,XLV
ALGN,Align Technology Inc.,0.355304,Health Care Equipment & Supplies,401642,XLV
STE,STERIS Plc,0.328391,Health Care Equipment & Supplies,474428,XLV
VAR,Varian Medical Systems Inc.,0.293434,Health Care Equipment & Supplies,508653,XLV
MYL,Mylan N.V.,0.291935,Pharmaceuticals,2887467,XLV
HOLX,Hologic Inc.,0.28334,Health Care Equipment & Supplies,1501383,XLV
PKI,PerkinElmer Inc.,0.270976,Life Sciences Tools & Services,621752,XLV
XRAY,DENTSPLY SIRONA Inc.,0.254814,Health Care Equipment & Supplies,1243564,XLV
HSIC,Henry Schein Inc.,0.227571,Health Care Providers & Services,820486,XLV
ABMD,ABIOMED Inc.,0.214758,Health Care Equipment & Supplies,252635,XLV
DVA,DaVita Inc.,0.211758,Health Care Providers & Services,501472,XLV
UHS,Universal Health Services Inc. Class B,0.207216,Health Care Providers & Services,449049,XLV
PRGO,Perrigo Co. Plc,0.206739,Pharmaceuticals,761423,XLV
AMZN,Amazon.com Inc.,34.809841,Internet & Direct Marketing Retail,1653542,XLY
HD,Home Depot Inc.,10.516762,Specialty Retail,5853774,XLY
MCD,McDonald's Corporation,6.129076,Hotels Restaurants & Leisure,4040831,XLY
NKE,NIKE Inc. Class B,4.644557,Textiles Apparel & Luxury Goods,6684946,XLY
SBUX,Starbucks Corporation,3.963666,Hotels Restaurants & Leisure,6335452,XLY
LOW,Lowe's Companies Inc.,3.083567,Specialty Retail,4110899,XLY
TGT,Target Corporation,2.907093,Multiline Retail,2717631,XLY
BKNG,Booking Holdings Inc.,2.861858,Internet & Direct Marketing Retail,224501,XLY
TJX,TJX Companies Inc,2.644951,Specialty Retail,6503623,XLY
DG,Dollar General Corporation,2.112196,Multiline Retail,1364969,XLY
ROST,Ross Stores Inc.,1.349077,Specialty Retail,1938033,XLY
GM,General Motors Company,1.311553,Automobiles,6735755,XLY
EBAY,eBay Inc.,1.197715,Internet & Direct Marketing Retail,4110087,XLY
ORLY,O'Reilly Automotive Inc.,1.17366,Specialty Retail,406582,XLY
MAR,Marriott International Inc. Class A,1.131515,Hotels Restaurants & Leisure,1458376,XLY
DLTR,Dollar Tree Inc.,1.074781,Multiline Retail,1272068,XLY
HLT,Hilton Worldwide Holdings Inc,1.062459,Hotels Restaurants & Leisure,1516408,XLY
AZO,AutoZone Inc.,1.025463,Specialty Retail,128163,XLY
YUM,Yum! Brands Inc.,1.016473,Hotels Restaurants & Leisure,1625575,XLY
F,Ford Motor Company,0.928495,Automobiles,20928988,XLY
VFC,V.F. Corporation,0.895528,Textiles Apparel & Luxury Goods,1760065,XLY
CMG,Chipotle Mexican Grill Inc.,0.894797,Hotels Restaurants & Leisure,137384,XLY
LVS,Las Vegas Sands Corp.,0.873012,Hotels Restaurants & Leisure,1816115,XLY
TIF,Tiffany & Co.,0.781105,Specialty Retail,580282,XLY
APTV,Aptiv PLC,0.705807,Auto Components,1371975,XLY
BBY,Best Buy Co. Inc.,0.686439,Specialty Retail,1224033,XLY
DHI,D.R. Horton Inc.,0.589386,Household Durables,1802222,XLY
TSCO,Tractor Supply Company,0.549567,Specialty Retail,636364,XLY
GRMN,Garmin Ltd.,0.546692,Household Durables,776594,XLY
LEN,Lennar Corporation Class A,0.488418,Household Durables,1504170,XLY
ULTA,Ulta Beauty Inc,0.487016,Specialty Retail,307321,XLY
KMX,CarMax Inc.,0.466379,Specialty Retail,883758,XLY
NVR,NVR Inc.,0.449589,Household Durables,18684,XLY
GPC,Genuine Parts Company,0.434487,Distributors,780924,XLY
EXPE,Expedia Group Inc.,0.422578,Internet & Direct Marketing Retail,751154,XLY
HAS,Hasbro Inc.,0.392477,Leisure Products,683930,XLY
WYNN,Wynn Resorts Limited,0.330651,Hotels Restaurants & Leisure,519142,XLY
AAP,Advance Auto Parts Inc.,0.323298,Specialty Retail,372260,XLY
DRI,Darden Restaurants Inc.,0.299136,Hotels Restaurants & Leisure,658992,XLY
RCL,Royal Caribbean Cruises Ltd.,0.288117,Hotels Restaurants & Leisure,923819,XLY
CCL,Carnival Corporation,0.285805,Hotels Restaurants & Leisure,2152790,XLY
MGM,MGM Resorts International,0.28018,Hotels Restaurants & Leisure,2767761,XLY
PHM,PulteGroup Inc.,0.26871,Household Durables,1369128,XLY
BWA,BorgWarner Inc.,0.259659,Auto Components,1109701,XLY
LKQ,LKQ Corporation,0.253306,Distributors,1647189,XLY
WHR,Whirlpool Corporation,0.241177,Household Durables,339453,XLY
NWL,Newell Brands Inc,0.239051,Household Durables,2048101,XLY
MHK,Mohawk Industries Inc.,0.223925,Household Durables,319600,XLY
RL,Ralph Lauren Corporation Class A,0.193355,Textiles Apparel & Luxury Goods,267233,XLY
HBI,Hanesbrands Inc.,0.193127,Textiles Apparel & Luxury Goods,1943925,XLY
LEG,Leggett & Platt Incorporated,0.175792,Household Durables,707145,XLY
TPR,Tapestry Inc.,0.173588,Textiles Apparel & Luxury Goods,1483019,XLY
HRB,H&R Block Inc.,0.143726,Diversified Consumer Services,1049366,XLY
HOG,Harley-Davidson Inc.,0.140746,Automobiles,829321,XLY
