Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
LIN,Linde plc,18.148008,Chemicals,2755975,XHB
APD,Air Products and Chemicals Inc.,8.774636,Chemicals,1130984,XHB
SHW,Sherwin-Williams Company,7.339606,Chemicals,421452,XHB
NEM,Newmont Corporation,7.108922,Metals & Mining,3887067,XHB
ECL,Ecolab Inc.,7.072379,Chemicals,1286558,XHB
DD,DuPont de Nemours Inc.,4.74856,Chemicals,3800709,XHB
DOW,Dow Inc.,4.439025,Chemicals,3804260,XHB
PPG,PPG Industries Inc.,3.892405,Chemicals,1222975,XHB
BLL,Ball Corporation,3.85797,Containers & Packaging,1691977,XHB
CTVA,Corteva Inc,3.724843,Chemicals,3870838,XHB
VMC,Vulcan Materials Company,2.464699,Construction Materials,684513,XHB
AMCR,Amcor PLC,2.435228,Containers & Packaging,8379521,XHB
LYB,LyondellBasell Industries NV,2.360273,Chemicals,1327859,XHB
IP,International Paper Company,2.356659,Containers & Packaging,2028058,XHB
IFF,International Flavors & Fragrances Inc.,2.285543,Chemicals,552214,XHB
MLM,Martin Marietta Materials Inc.,2.045289,Construction Materials,323272,XHB
NUE,Nucor Corporation,1.956558,Metals & Mining,1568217,XHB
FMC,FMC Corporation,1.888824,Chemicals,670393,XHB
FCX,Freeport-McMoRan Inc.,1.775661,Metals & Mining,7504278,XHB
CE,Celanese Corporation,1.706959,Chemicals,625130,XHB
PKG,Packaging Corporation of America,1.638339,Containers & Packaging,489635,XHB
AVY,Avery Dennison Corporation,1.492949,Containers & Packaging,431849,XHB
WRK,WestRock Company,1.452758,Containers & Packaging,1333841,XHB
ALB,Albemarle Corporation,1.225542,Chemicals,548464,XHB
EMN,Eastman Chemical Company,1.185211,Chemicals,703259,XHB
CF,CF Industries Holdings Inc.,1.088093,Chemicals,1124584,XHB
SEE,Sealed Air Corporation,0.7764,Containers & Packaging,799175,XHB
MOS,Mosaic Company,0.731939,Chemicals,1808346,XHB
FB,Facebook Inc. Class A,18.482459,Interactive Media & Services,7478114,XLC
GOOGL,Alphabet Inc. Class A,11.658186,Interactive Media & Services,662711,XLC
GOOG,Alphabet Inc. Class C,11.657211,Interactive Media & Services,661094,XLC
NFLX,Netflix Inc.,7.027658,Entertainment,1168880,XLC
ATVI,Activision Blizzard Inc.,5.605978,Entertainment,5948685,XLC
VZ,Verizon Communications Inc.,4.816995,Diversified Telecommunication Services,5737323,XLC
CHTR,Charter Communications Inc. Class A,4.677077,Media,734089,XLC
EA,Electronic Arts Inc.,4.571528,Entertainment,2869339,XLC
CMCSA,Comcast Corporation Class A,4.564955,Media,8005323,XLC
T,AT&T Inc.,4.073634,Diversified Telecommunication Services,9118450,XLC
TMUS,T-Mobile US Inc.,3.929902,Wireless Telecommunication Services,3110808,XLC
DIS,Walt Disney Company,3.416154,Entertainment,2386932,XLC
TWTR,Twitter Inc.,3.143523,Interactive Media & Services,7629270,XLC
TTWO,Take-Two Interactive Software Inc.,2.038283,Entertainment,1112168,XLC
OMC,Omnicom Group Inc,1.724576,Media,2139551,XLC
CTL,CenturyLink Inc.,1.398849,Diversified Telecommunication Services,9645806,XLC
FOXA,Fox Corporation Class A,1.174083,Media,3482850,XLC
VIAC,ViacomCBS Inc. Class B,0.999672,Media,5310507,XLC
DISCK,Discovery Inc. Class C,0.905427,Media,3296182,XLC
LYV,Live Nation Entertainment Inc.,0.8627,Entertainment,1384806,XLC
IPG,Interpublic Group of Companies Inc.,0.817985,Media,3805545,XLC
DISH,DISH Network Corporation Class A,0.759445,Media,2507303,XLC
FOX,Fox Corporation Class B,0.527448,Media,1595448,XLC
NWSA,News Corporation Class A,0.524433,Media,3818366,XLC
DISCA,Discovery Inc. Class A,0.479267,Media,1553203,XLC
NWS,News Corporation Class B,0.16257,Media,1196750,XLC
XOM,Exxon Mobil Corporation,25.684628,Oil Gas & Consumable Fuels,44422240,XLE
CVX,Chevron Corporation,23.333227,Oil Gas & Consumable Fuels,23407934,XLE
KMI,Kinder Morgan Inc Class P,5.194875,Oil Gas & Consumable Fuels,25618128,XLE
EOG,EOG Resources Inc.,4.858585,Oil Gas & Consumable Fuels,7651300,XLE
COP,ConocoPhillips,4.331235,Oil Gas & Consumable Fuels,9596395,XLE
PSX,Phillips 66,4.120638,Oil Gas & Consumable Fuels,5325168,XLE
SLB,Schlumberger NV,3.639082,Energy Equipment & Services,15428119,XLE
WMB,Williams Companies Inc.,3.267666,Oil Gas & Consumable Fuels,15940816,XLE
VLO,Valero Energy Corporation,3.238917,Oil Gas & Consumable Fuels,5400869,XLE
MPC,Marathon Petroleum Corporation,2.609317,Oil Gas & Consumable Fuels,8539720,XLE
PXD,Pioneer Natural Resources Company,2.454875,Oil Gas & Consumable Fuels,2178650,XLE
OXY,Occidental Petroleum Corporation,2.093012,Oil Gas & Consumable Fuels,11748863,XLE
OKE,ONEOK Inc.,1.95763,Oil Gas & Consumable Fuels,5432783,XLE
CXO,Concho Resources Inc.,1.848596,Oil Gas & Consumable Fuels,2644012,XLE
HES,Hess Corporation,1.81048,Oil Gas & Consumable Fuels,3406382,XLE
BKR,Baker Hughes Company Class A,1.466054,Energy Equipment & Services,8547049,XLE
COG,Cabot Oil & Gas Corporation,1.394651,Oil Gas & Consumable Fuels,5364930,XLE
HAL,Halliburton Company,1.112166,Energy Equipment & Services,11544789,XLE
NOV,National Oilwell Varco Inc.,0.909599,Energy Equipment & Services,5074497,XLE
FANG,Diamondback Energy Inc.,0.793676,Oil Gas & Consumable Fuels,2119336,XLE
HFC,HollyFrontier Corporation,0.669929,Oil Gas & Consumable Fuels,1952833,XLE
MRO,Marathon Oil Corporation,0.647947,Oil Gas & Consumable Fuels,10520644,XLE
FTI,TechnipFMC Plc,0.640139,Energy Equipment & Services,5526896,XLE
DVN,Devon Energy Corporation,0.578267,Oil Gas & Consumable Fuels,5089649,XLE
NBL,Noble Energy Inc.,0.516949,Oil Gas & Consumable Fuels,6290537,XLE
APA,Apache Corporation,0.391869,Oil Gas & Consumable Fuels,4945511,XLE
HP,Helmerich & Payne Inc.,0.370501,Energy Equipment & Services,1426249,XLE
BRKB,Berkshire Hathaway Inc. Class B,15.945241,Diversified Financial Services,12238934,XLF
JPM,JPMorgan Chase & Co.,12.463251,Banks,19625252,XLF
BAC,Bank of America Corp,7.359386,Banks,50654616,XLF
WFC,Wells Fargo & Company,4.886223,Banks,24081736,XLF
C,Citigroup Inc.,3.884781,Banks,13660351,XLF
CME,CME Group Inc. Class A,2.514308,Capital Markets,2242310,XLF
SPGI,S&P Global Inc.,2.359883,Capital Markets,1529157,XLF
AXP,American Express Company,2.326557,Consumer Finance,4198482,XLF
GS,Goldman Sachs Group Inc.,2.162554,Capital Markets,1993910,XLF
CB,Chubb Limited,2.146531,Insurance,2835712,XLF
USB,U.S. Bancorp,2.067388,Banks,8893023,XLF
PGR,Progressive Corporation,1.9562,Insurance,3657978,XLF
MMC,Marsh & McLennan Companies Inc.,1.946018,Insurance,3157796,XLF
BLK,BlackRock Inc.,1.941313,Capital Markets,737847,XLF
ICE,Intercontinental Exchange Inc.,1.871675,Capital Markets,3484214,XLF
PNC,PNC Financial Services Group Inc.,1.776524,Banks,2741552,XLF
TFC,Truist Financial Corporation,1.732267,Banks,8391246,XLF
MS,Morgan Stanley,1.72005,Capital Markets,7696904,XLF
AON,Aon plc,1.712666,Insurance,1465026,XLF
SCHW,Charles Schwab Corporation,1.638286,Capital Markets,7153537,XLF
MCO,Moody's Corporation,1.34776,Capital Markets,1015939,XLF
ALL,Allstate Corporation,1.192876,Insurance,2027133,XLF
BK,Bank of New York Mellon Corporation,1.160102,Capital Markets,5251670,XLF
TRV,Travelers Companies Inc.,1.14679,Insurance,1615117,XLF
COF,Capital One Financial Corporation,1.004075,Consumer Finance,2914663,XLF
TROW,T. Rowe Price Group,1.003839,Capital Markets,1462448,XLF
MSCI,MSCI Inc. Class A,0.986565,Capital Markets,530221,XLF
WLTW,Willis Towers Watson Public Limited Company,0.953985,Insurance,804542,XLF
AFL,Aflac Incorporated,0.948233,Insurance,4593321,XLF
MET,MetLife Inc.,0.924958,Insurance,4891881,XLF
AIG,American International Group Inc.,0.844339,Insurance,5444216,XLF
PRU,Prudential Financial Inc.,0.792838,Insurance,2515666,XLF
STT,State Street Corporation,0.7901,Capital Markets,2275484,XLF
NTRS,Northern Trust Corporation,0.672432,Capital Markets,1325947,XLF
FRC,First Republic Bank,0.640743,Banks,1054722,XLF
AJG,Arthur J. Gallagher & Co.,0.640133,Insurance,1167366,XLF
MTB,M&T Bank Corporation,0.584702,Banks,825913,XLF
HIG,Hartford Financial Services Group Inc.,0.556619,Insurance,2255558,XLF
MKTX,MarketAxess Holdings Inc.,0.536497,Capital Markets,237333,XLF
AMP,Ameriprise Financial Inc.,0.528034,Capital Markets,792845,XLF
CINF,Cincinnati Financial Corporation,0.51019,Insurance,950740,XLF
FITB,Fifth Third Bancorp,0.433967,Banks,4441184,XLF
CBOE,Cboe Global Markets Inc,0.426673,Capital Markets,693718,XLF
KEY,KeyCorp,0.423991,Banks,6163950,XLF
NDAQ,Nasdaq Inc.,0.420419,Capital Markets,718073,XLF
DFS,Discover Financial Services,0.420095,Consumer Finance,1961670,XLF
L,Loews Corporation,0.382531,Insurance,1600669,XLF
RF,Regions Financial Corporation,0.374496,Banks,6036779,XLF
SIVB,SVB Financial Group,0.371414,Banks,322746,XLF
HBAN,Huntington Bancshares Incorporated,0.363542,Banks,6462980,XLF
SYF,Synchrony Financial,0.363278,Consumer Finance,3531877,XLF
RE,Everest Re Group Ltd.,0.352569,Insurance,255148,XLF
CFG,Citizens Financial Group Inc.,0.346945,Banks,2720568,XLF
RJF,Raymond James Financial Inc.,0.342132,Capital Markets,772713,XLF
WRB,W. R. Berkley Corporation,0.31635,Insurance,907933,XLF
PFG,Principal Financial Group Inc.,0.313774,Insurance,1616205,XLF
ETFC,E*TRADE Financial Corporation,0.309793,Capital Markets,1413717,XLF
GL,Globe Life Inc.,0.291283,Insurance,623364,XLF
AIZ,Assurant Inc.,0.284165,Insurance,379510,XLF
PBCT,People's United Financial Inc.,0.238975,Banks,2779359,XLF
BEN,Franklin Resources Inc.,0.214608,Capital Markets,1745543,XLF
ZION,Zions Bancorporation N.A.,0.206448,Banks,1066918,XLF
CMA,Comerica Incorporated,0.1982,Banks,902156,XLF
LNC,Lincoln National Corporation,0.173049,Insurance,1241209,XLF
IVZ,Invesco Ltd.,0.142432,Capital Markets,2329159,XLF
UNM,Unum Group,0.107656,Insurance,1290679,XLF
UNP,Union Pacific Corporation,5.441773,Road & Rail,2893402,XLI
HON,Honeywell International Inc.,5.101108,Industrial Conglomerates,2978117,XLI
LMT,Lockheed Martin Corporation,4.722996,Aerospace & Defense,1034611,XLI
MMM,3M Company,4.659151,Industrial Conglomerates,2396785,XLI
UPS,United Parcel Service Inc. Class B,4.42661,Air Freight & Logistics,2920662,XLI
UTX,United Technologies Corporation,4.179833,Aerospace & Defense,3381527,XLI
BA,Boeing Company,3.881653,Aerospace & Defense,2228415,XLI
GE,General Electric Company,3.667964,Industrial Conglomerates,36400676,XLI
CAT,Caterpillar Inc.,3.489283,Machinery,2303470,XLI
NOC,Northrop Grumman Corporation,2.907245,Aerospace & Defense,653234,XLI
CSX,CSX Corporation,2.547594,Road & Rail,3241169,XLI
DE,Deere & Company,2.405563,Machinery,1312299,XLI
ITW,Illinois Tool Works Inc.,2.374177,Machinery,1219061,XLI
WM,Waste Management Inc.,2.357382,Commercial Services & Supplies,1626728,XLI
LHX,L3Harris Technologies Inc,2.282574,Aerospace & Defense,921346,XLI
RTN,Raytheon Company,2.211655,Aerospace & Defense,1160675,XLI
NSC,Norfolk Southern Corporation,2.130762,Road & Rail,1086805,XLI
FDX,FedEx Corporation,1.843987,Air Freight & Logistics,1000454,XLI
ROP,Roper Technologies Inc.,1.819132,Industrial Conglomerates,433754,XLI
GD,General Dynamics Corporation,1.717038,Aerospace & Defense,976671,XLI
ETN,Eaton Corp. Plc,1.64164,Electrical Equipment,1723063,XLI
EMR,Emerson Electric Co.,1.594444,Electrical Equipment,2538855,XLI
VRSK,Verisk Analytics Inc,1.364807,Professional Services,682914,XLI
INFO,IHS Markit Ltd.,1.251374,Professional Services,1671309,XLI
JCI,Johnson Controls International plc,1.246076,Building Products,3215156,XLI
PCAR,PACCAR Inc,1.186603,Machinery,1441596,XLI
TT,Trane Technologies plc,1.173509,Building Products,998542,XLI
FAST,Fastenal Company,1.110931,Trading Companies & Distributors,2390406,XLI
LUV,Southwest Airlines Co.,1.098145,Airlines,1974100,XLI
CMI,Cummins Inc.,1.082046,Machinery,638480,XLI
TDG,TransDigm Group Incorporated,1.032248,Aerospace & Defense,207577,XLI
RSG,Republic Services Inc.,0.959362,Commercial Services & Supplies,877923,XLI
ROK,Rockwell Automation Inc.,0.958541,Electrical Equipment,481616,XLI
AME,AMETEK Inc.,0.91468,Electrical Equipment,952790,XLI
CTAS,Cintas Corporation,0.904973,Commercial Services & Supplies,349378,XLI
DAL,Delta Air Lines Inc.,0.879143,Airlines,2399061,XLI
EFX,Equifax Inc.,0.87072,Professional Services,504649,XLI
PH,Parker-Hannifin Corporation,0.861524,Machinery,535453,XLI
FTV,Fortive Corp.,0.853311,Machinery,1231630,XLI
CPRT,Copart Inc.,0.826539,Commercial Services & Supplies,852628,XLI
ODFL,Old Dominion Freight Line Inc.,0.7544,Road & Rail,266166,XLI
SWK,Stanley Black & Decker Inc.,0.75254,Machinery,633493,XLI
XYL,Xylem Inc.,0.701109,Machinery,750564,XLI
KSU,Kansas City Southern,0.685018,Road & Rail,413132,XLI
EXPD,Expeditors International of Washington Inc.,0.653908,Air Freight & Logistics,709809,XLI
DOV,Dover Corporation,0.652843,Machinery,605558,XLI
GWW,W.W. Grainger Inc.,0.628087,Trading Companies & Distributors,181795,XLI
IEX,IDEX Corporation,0.599577,Machinery,317100,XLI
CHRW,C.H. Robinson Worldwide Inc.,0.587947,Air Freight & Logistics,563731,XLI
J,Jacobs Engineering Group Inc.,0.58681,Construction & Engineering,564695,XLI
MAS,Masco Corporation,0.537594,Building Products,1184059,XLI
WAB,Westinghouse Air Brake Technologies Corporation,0.514776,Machinery,758901,XLI
ALLE,Allegion PLC,0.502007,Building Products,387269,XLI
IR,Ingersoll Rand Inc.,0.463878,Machinery,1442431,XLI
JBHT,J.B. Hunt Transport Services Inc.,0.463189,Road & Rail,355334,XLI
HII,Huntington Ingalls Industries Inc.,0.432853,Aerospace & Defense,170463,XLI
UAL,United Airlines Holdings Inc.,0.392629,Airlines,906939,XLI
URI,United Rentals Inc.,0.366224,Trading Companies & Distributors,313247,XLI
SNA,Snap-on Incorporated,0.360215,Machinery,228542,XLI
TXT,Textron Inc.,0.339862,Aerospace & Defense,951415,XLI
AOS,A. O. Smith Corporation,0.335373,Building Products,571221,XLI
FBHS,Fortune Brands Home & Security Inc.,0.333177,Building Products,580025,XLI
ARNC,Arconic Inc.,0.319265,Aerospace & Defense,1614572,XLI
ROL,Rollins Inc.,0.305535,Commercial Services & Supplies,586829,XLI
NLSN,Nielsen Holdings Plc,0.292027,Professional Services,1483013,XLI
RHI,Robert Half International Inc.,0.276114,Professional Services,489969,XLI
AAL,American Airlines Group Inc.,0.2747,Airlines,1625028,XLI
PNR,Pentair plc,0.264014,Machinery,700594,XLI
PWR,Quanta Services Inc.,0.232794,Construction & Engineering,593090,XLI
ALK,Alaska Air Group Inc.,0.203478,Airlines,513439,XLI
FLS,Flowserve Corporation,0.173069,Machinery,545432,XLI
MSFT,Microsoft Corporation,21.661482,Software,32540048,XLK
AAPL,Apple Inc.,19.568188,Technology Hardware Storage & Peripherals,17815208,XLK
V,Visa Inc. Class A,4.852073,IT Services,7301709,XLK
INTC,Intel Corporation,4.50353,Semiconductors & Semiconductor Equipment,18554598,XLK
MA,Mastercard Incorporated Class A,3.768589,IT Services,3786574,XLK
ADBE,Adobe Inc.,3.105898,Software,2064772,XLK
CSCO,Cisco Systems Inc.,3.065001,Communications Equipment,18095044,XLK
NVDA,NVIDIA Corporation,2.718059,Semiconductors & Semiconductor Equipment,2610459,XLK
CRM,salesforce.com inc.,2.602691,Software,3783463,XLK
PYPL,PayPal Holdings Inc,2.090465,IT Services,5008441,XLK
ORCL,Oracle Corporation,1.999097,Software,9240916,XLK
TXN,Texas Instruments Incorporated,1.921469,Semiconductors & Semiconductor Equipment,3987189,XLK
ACN,Accenture Plc Class A,1.905428,IT Services,2708763,XLK
IBM,International Business Machines Corporation,1.752614,IT Services,3777638,XLK
AVGO,Broadcom Inc.,1.602473,Semiconductors & Semiconductor Equipment,1691929,XLK
QCOM,QUALCOMM Incorporated,1.490926,Semiconductors & Semiconductor Equipment,4870492,XLK
FIS,Fidelity National Information Services Inc.,1.314798,IT Services,2621513,XLK
INTU,Intuit Inc.,1.058391,Software,1110301,XLK
AMD,Advanced Micro Devices Inc.,1.017022,Semiconductors & Semiconductor Equipment,4989128,XLK
NOW,ServiceNow Inc.,1.005511,Software,804465,XLK
ADP,Automatic Data Processing Inc.,0.985459,IT Services,1845603,XLK
FISV,Fiserv Inc.,0.918249,IT Services,2435986,XLK
MU,Micron Technology Inc.,0.884216,Semiconductors & Semiconductor Equipment,4722065,XLK
AMAT,Applied Materials Inc.,0.774843,Semiconductors & Semiconductor Equipment,3940188,XLK
GPN,Global Payments Inc.,0.72846,IT Services,1282009,XLK
ADSK,Autodesk Inc.,0.66223,Software,938490,XLK
ADI,Analog Devices Inc.,0.654933,Semiconductors & Semiconductor Equipment,1570964,XLK
LRCX,Lam Research Corporation,0.584239,Semiconductors & Semiconductor Equipment,618837,XLK
CTSH,Cognizant Technology Solutions Corporation Class A,0.475757,IT Services,2335569,XLK
MSI,Motorola Solutions Inc.,0.445634,Communications Equipment,730811,XLK
APH,Amphenol Corporation Class A,0.427179,Electronic Equipment Instruments & Components,1264637,XLK
HPQ,HP Inc.,0.423938,Technology Hardware Storage & Peripherals,6321017,XLK
KLAC,KLA Corporation,0.383396,Semiconductors & Semiconductor Equipment,673052,XLK
TEL,TE Connectivity Ltd.,0.381823,Electronic Equipment Instruments & Components,1426652,XLK
XLNX,Xilinx Inc.,0.378078,Semiconductors & Semiconductor Equipment,1072640,XLK
ANSS,ANSYS Inc.,0.372302,Software,365012,XLK
SNPS,Synopsys Inc.,0.340542,Software,641248,XLK
PAYX,Paychex Inc.,0.335199,IT Services,1358826,XLK
